latency,type,dataset,third,N1,resp
52235.1,4,NeoRec_2018-07-06_14-02-33,2,0.4131691,high
52333.3,4,NeoRec_2018-07-06_14-02-33,2,-1.118203,high
52430.7,4,NeoRec_2018-07-06_14-02-33,2,-2.959993,high
52548.2,4,NeoRec_2018-07-06_14-02-33,2,-1.489074,high
52660.8,4,NeoRec_2018-07-06_14-02-33,2,0.9120848,high
52759,4,NeoRec_2018-07-06_14-02-33,2,-4.855764,high
52844.6,4,NeoRec_2018-07-06_14-02-33,2,2.250367,high
52939.4,4,NeoRec_2018-07-06_14-02-33,2,-1.790458,high
53036.3,4,NeoRec_2018-07-06_14-02-33,2,-3.852207,high
53132.1,4,NeoRec_2018-07-06_14-02-33,2,-2.528999,high
53243.5,4,NeoRec_2018-07-06_14-02-33,2,5.570392,high
53336.7,4,NeoRec_2018-07-06_14-02-33,2,-4.062827,high
53453.5,4,NeoRec_2018-07-06_14-02-33,2,-1.479684,high
53546.1,4,NeoRec_2018-07-06_14-02-33,2,2.32663,high
53664.2,4,NeoRec_2018-07-06_14-02-33,3,5.975977,high
53767.4,4,NeoRec_2018-07-06_14-02-33,3,4.286151,high
53871.4,4,NeoRec_2018-07-06_14-02-33,3,-7.892201,high
53979.4,4,NeoRec_2018-07-06_14-02-33,3,0.5098121,high
54066,4,NeoRec_2018-07-06_14-02-33,3,3.99065,high
54159.2,4,NeoRec_2018-07-06_14-02-33,3,-2.282239,high
54271.3,4,NeoRec_2018-07-06_14-02-33,3,-6.88245,high
54389.9,4,NeoRec_2018-07-06_14-02-33,3,3.53077,high
54484.9,4,NeoRec_2018-07-06_14-02-33,3,-2.045786,high
54566.7,4,NeoRec_2018-07-06_14-02-33,3,0.8149025,high
54657.3,4,NeoRec_2018-07-06_14-02-33,3,-3.36154,high
54763.1,4,NeoRec_2018-07-06_14-02-33,3,-13.07818,high
54844,4,NeoRec_2018-07-06_14-02-33,3,-0.03071785,high
54953.8,4,NeoRec_2018-07-06_14-02-33,3,1.455728,high
62904.2,5,NeoRec_2018-07-06_14-02-33,1,8.456553,high
62991.2,5,NeoRec_2018-07-06_14-02-33,1,1.184576,high
63107.3,5,NeoRec_2018-07-06_14-02-33,1,-11.01906,high
63187.3,5,NeoRec_2018-07-06_14-02-33,1,-1.067202,high
63281.7,5,NeoRec_2018-07-06_14-02-33,1,2.37768,high
63372.3,5,NeoRec_2018-07-06_14-02-33,1,1.620252,high
63483.1,5,NeoRec_2018-07-06_14-02-33,1,-4.139733,high
63578.9,5,NeoRec_2018-07-06_14-02-33,1,-5.671276,high
63683.8,5,NeoRec_2018-07-06_14-02-33,1,-9.851928,high
63799.6,5,NeoRec_2018-07-06_14-02-33,1,-0.8328018,high
63903,5,NeoRec_2018-07-06_14-02-33,1,-3.538671,high
64003,5,NeoRec_2018-07-06_14-02-33,2,-3.486966,high
64094,5,NeoRec_2018-07-06_14-02-33,2,-0.04321287,high
64183.8,5,NeoRec_2018-07-06_14-02-33,2,0.3282744,high
64293.3,5,NeoRec_2018-07-06_14-02-33,2,2.719777,high
64403.9,5,NeoRec_2018-07-06_14-02-33,2,1.137569,high
64493.5,5,NeoRec_2018-07-06_14-02-33,2,0.2889663,high
64593.1,5,NeoRec_2018-07-06_14-02-33,2,1.203544,high
64678.7,5,NeoRec_2018-07-06_14-02-33,2,0.2998478,high
64783.1,5,NeoRec_2018-07-06_14-02-33,2,-2.72715,high
64888.2,5,NeoRec_2018-07-06_14-02-33,2,-9.529576,high
64985.2,5,NeoRec_2018-07-06_14-02-33,2,5.06189,high
65101,5,NeoRec_2018-07-06_14-02-33,2,2.102924,high
65195.8,5,NeoRec_2018-07-06_14-02-33,2,1.224909,high
65296.6,5,NeoRec_2018-07-06_14-02-33,2,-0.4984797,high
65391.3,5,NeoRec_2018-07-06_14-02-33,2,-3.485818,high
65488.1,5,NeoRec_2018-07-06_14-02-33,2,-2.396327,high
65576.9,5,NeoRec_2018-07-06_14-02-33,2,-1.677071,high
65664.1,5,NeoRec_2018-07-06_14-02-33,2,-1.829777,high
65751.1,5,NeoRec_2018-07-06_14-02-33,2,1.024131,high
65865.3,5,NeoRec_2018-07-06_14-02-33,2,6.453621,high
65966.4,5,NeoRec_2018-07-06_14-02-33,2,0.2793095,high
66071.8,5,NeoRec_2018-07-06_14-02-33,3,4.166043,high
66170.2,5,NeoRec_2018-07-06_14-02-33,3,1.299717,high
66277.2,5,NeoRec_2018-07-06_14-02-33,3,2.798404,high
66382,5,NeoRec_2018-07-06_14-02-33,3,4.610034,high
66484.7,5,NeoRec_2018-07-06_14-02-33,3,0.1609698,high
66598.1,5,NeoRec_2018-07-06_14-02-33,3,-2.275928,high
66708.5,5,NeoRec_2018-07-06_14-02-33,3,-0.6447852,high
66821.3,5,NeoRec_2018-07-06_14-02-33,3,-8.360081,high
66932.1,5,NeoRec_2018-07-06_14-02-33,3,-7.696375,high
67035.1,5,NeoRec_2018-07-06_14-02-33,3,-2.512059,high
67152.6,5,NeoRec_2018-07-06_14-02-33,3,1.128832,high
74717.6,6,NeoRec_2018-07-06_14-02-33,1,-1.595757,high
74825.2,6,NeoRec_2018-07-06_14-02-33,1,-3.439441,high
74930.6,6,NeoRec_2018-07-06_14-02-33,1,3.985413,high
75028,6,NeoRec_2018-07-06_14-02-33,1,2.012628,high
75110,6,NeoRec_2018-07-06_14-02-33,1,4.082365,high
75225,6,NeoRec_2018-07-06_14-02-33,1,5.914301,high
75344.7,6,NeoRec_2018-07-06_14-02-33,1,-7.760993,high
75424.7,6,NeoRec_2018-07-06_14-02-33,1,5.634153,high
75504.9,6,NeoRec_2018-07-06_14-02-33,1,-1.937368,high
75591.5,6,NeoRec_2018-07-06_14-02-33,1,-0.9746655,high
75688.9,6,NeoRec_2018-07-06_14-02-33,1,0.9070525,high
75776.9,6,NeoRec_2018-07-06_14-02-33,2,5.519145,high
75891,6,NeoRec_2018-07-06_14-02-33,2,-12.13649,high
75984.4,6,NeoRec_2018-07-06_14-02-33,2,1.519733,high
76101.8,6,NeoRec_2018-07-06_14-02-33,2,-0.4130431,high
76193.8,6,NeoRec_2018-07-06_14-02-33,2,-5.380163,high
76282.4,6,NeoRec_2018-07-06_14-02-33,2,-4.094698,high
76384,6,NeoRec_2018-07-06_14-02-33,2,3.586808,high
76464.3,6,NeoRec_2018-07-06_14-02-33,2,-0.3327824,high
76561.3,6,NeoRec_2018-07-06_14-02-33,2,-1.196961,high
76648.3,6,NeoRec_2018-07-06_14-02-33,2,-3.022876,high
76767.7,6,NeoRec_2018-07-06_14-02-33,2,0.2520224,high
76877.3,6,NeoRec_2018-07-06_14-02-33,2,1.502592,high
76990.2,6,NeoRec_2018-07-06_14-02-33,2,1.225664,high
77074.4,6,NeoRec_2018-07-06_14-02-33,2,1.174597,high
77192.8,6,NeoRec_2018-07-06_14-02-33,2,0.09642036,high
77310.2,6,NeoRec_2018-07-06_14-02-33,2,-0.2974587,high
77421.8,6,NeoRec_2018-07-06_14-02-33,2,0.9156182,high
77536.2,6,NeoRec_2018-07-06_14-02-33,2,-5.439594,high
77654.9,6,NeoRec_2018-07-06_14-02-33,2,-2.033607,high
77774.3,6,NeoRec_2018-07-06_14-02-33,2,2.724102,high
77888.5,6,NeoRec_2018-07-06_14-02-33,2,-2.077512,high
77973.1,6,NeoRec_2018-07-06_14-02-33,2,-1.218232,high
78074.1,6,NeoRec_2018-07-06_14-02-33,3,-2.183904,high
78191,6,NeoRec_2018-07-06_14-02-33,3,-4.093376,high
